"pdsa_id","domain","title","goal","plan","do_text","study","act","success_indicators"
1,Quality & Safety,Fall Prevention & Patient Safety,Reduce patient falls by X% in 6 months.,Implement standardized fall risk assessments and color-coded socks; educate staff.,Train staff on protocol; launch color-coded indicators and ensure compliance.,"Track fall rates monthly, gather staff feedback, audit compliance.","Refine interventions (add bed alarms, adjust training) or standardize if successful.","Falls per 1,000 patient days, compliance with assessments, staff/patient feedback"
2,Patient Satisfaction,Bedside Shift Report,Improve continuity of care and patient satisfaction regarding communication.,Create a standardized BSR checklist and script; engage patients during shift change.,Pilot the process on one med-surg unit; train nurses on the new checklist.,"Collect patient satisfaction data (HCAHPS communication), nurse feedback, error rates.",Refine or expand BSR if data shows improvement; provide ongoing training.,"HCAHPS communication scores, near-miss data, nurse satisfaction"
3,Quality & Safety,Hourly Rounding,Enhance patient satisfaction and reduce falls through structured rounding.,"Adopt “4 Ps” (Pain, Potty, Position, Possessions) rounding; document in EHR.",Staff training on rounding protocol; launch in pilot unit for 30 days.,"Compare call light usage, fall rates, patient feedback pre/post pilot.",Scale to all units if successful; adjust frequency or scripts if not.,"Call light frequency, fall rates, HCAHPS “responsiveness” scores"
4,Quality & HEDIS,Medication Reconciliation & Adherence,"Reduce medication discrepancies, improve patient safety and chronic disease metrics.","Standardize med history intake in EHR, involve pharmacists at admission/discharge.",Pilot pharmacist-driven med reconciliation on one unit; educate nurses.,"Audit discrepancy rates, track 30-day readmissions, patient feedback on instructions.",Expand pharmacist involvement if improvements occur; refine workflow as needed.,"Medication discrepancy audits, readmission rates, HEDIS adherence measures"
5,Patient Flow & Quality,Discharge Planning & Readmission Reduction,Lower 30-day readmissions by X% for high-risk conditions.,Start discharge planning on admission; perform post-discharge follow-up calls.,"Identify high-risk patients (CHF, COPD); pilot follow-up phone calls on one unit.",Compare readmission rates and patient feedback vs. baseline.,"If rates drop, expand to more units; refine follow-up approach if not.","Readmission rates, patient satisfaction, bed turnover metrics"
6,Quality & Safety,Rapid Response Team Optimization,Reduce non-ICU Code Blue events and improve early intervention.,"Update RRT call criteria, educate staff on early warning signs, standardize documentation.",Train bedside teams on RRT triggers; pilot new activation system in one unit.,Measure RRT vs. Code Blue frequency; assess mortality and staff confidence.,Spread new criteria if outcomes improve; adjust training or add more simulations if not.,"RRT call data, unplanned ICU transfers, staff feedback"
7,Quality & Safety,CLABSI & CAUTI Reduction,Achieve near-zero hospital-acquired CLABSIs/CAUTIs.,"Daily catheter necessity checks, sterile insertion protocols, infection prevention “line rounds.”","Roll out daily checklist, train on sterile technique; real-time line rounds in ICU.","Monitor infection rates monthly, check compliance with insertion/maintenance bundles.",Institutionalize if infection rates drop; refine or intensify training if not.,"CLABSI/CAUTI incidence, compliance audits, length of stay/cost metrics"
8,Quality & Safety,Hand Hygiene Compliance,Attain >95% hand hygiene compliance to cut HAIs.,"Place dispensers at room entries, conduct secret shopper audits, reward high-compliance units.",Launch monthly secret shopper program; track results by department.,"Review audit data, correlate with infection rates, gather staff feedback on barriers.",Expand success to all units if targets met; adjust dispenser locations or add reminders if not.,"Audit rates, staff awareness, hospital-acquired infection trends"
9,Patient Satisfaction & HEDIS,Patient Education & Health Literacy,"Improve patient understanding of care, reduce readmissions for chronic conditions.","Use teach-back method, simplify materials, incorporate multimedia in multiple languages.","Train nurses on teach-back, roll out new materials on pilot unit.","Compare readmissions, patient knowledge surveys pre/post; gather nurse feedback.",Scale if successful; refine materials or training if knowledge gaps remain.,"HCAHPS communication domain, readmission rates, teach-back utilization"
10,Operational Efficiency,Streamlined Patient Admissions & Throughput,Shorten ED boarding time and expedite inpatient admissions.,"Use real-time bed management dashboard, standardized admission orders.","Pilot dashboard in ED and a single inpatient unit, train staff on new workflow.","Compare ED wait times, bed assignment delays, satisfaction pre/post.",Expand if boarding time decreases; modify triage or bed assignment process if not.,"ED length of stay, bed turnover, patient and staff satisfaction"
